ts,attempt,status,elapsed_ms,error
2026-09-14T22:07:34.740+00:00,218,OK,5.6,
2026-09-14T22:07:35.246+00:00,219,OK,5.4,
2026-09-14T22:07:35.756+00:00,220,OK,9.7,
2026-09-14T22:07:36.260+00:00,221,OK,4.4,
2026-09-14T22:07:36.765+00:00,222,OK,4.6,
2026-09-14T22:07:37.270+00:00,223,OK,4.3,
2026-09-14T22:07:37.774+00:00,224,OK,3.7,
2026-09-14T22:07:38.284+00:00,225,OK,10.3,
2026-09-14T22:07:38.797+00:00,226,OK,11.9,
2026-09-14T22:07:39.307+00:00,227,OK,9.8,
2026-09-14T22:07:39.818+00:00,228,OK,10.9,
2026-09-14T22:07:40.328+00:00,229,OK,9.0,
2026-09-14T22:07:40.834+00:00,230,OK,6.3,
2026-09-14T22:07:41.339+00:00,231,OK,4.0,
2026-09-14T22:07:41.846+00:00,232,OK,7.2,
2026-09-14T22:07:42.351+00:00,233,OK,4.4,
2026-09-14T22:07:42.855+00:00,234,OK,5.8,
2026-09-14T22:07:43.360+00:00,235,OK,4.0,
2026-09-14T22:07:43.863+00:00,236,OK,3.7,
2026-09-14T22:07:44.368+00:00,237,OK,4.3,
2026-09-14T22:07:44.872+00:00,238,OK,3.8,
2026-09-14T22:07:45.377+00:00,239,OK,4.5,
2026-09-14T22:07:45.881+00:00,240,OK,4.5,
2026-09-14T22:07:46.386+00:00,241,OK,4.2,
2026-09-14T22:07:46.891+00:00,242,OK,5.0,
2026-09-14T22:07:47.396+00:00,243,OK,4.2,
2026-09-14T22:07:47.902+00:00,244,OK,6.0,
2026-09-14T22:07:48.406+00:00,245,OK,3.8,
2026-09-14T22:07:48.912+00:00,246,OK,5.4,
2026-09-14T22:07:49.420+00:00,247,OK,8.0,
2026-09-14T22:07:49.924+00:00,248,OK,3.4,
2026-09-14T22:07:50.434+00:00,249,OK,9.9,
2026-09-14T22:07:50.945+00:00,250,OK,11.2,
2026-09-14T22:07:51.454+00:00,251,OK,8.5,
2026-09-14T22:07:51.966+00:00,252,OK,10.8,
2026-09-14T22:07:52.470+00:00,253,OK,4.0,
2026-09-14T22:07:52.973+00:00,254,OK,2.9,
2026-09-14T22:07:53.478+00:00,255,OK,4.7,
2026-09-14T22:07:53.983+00:00,256,OK,4.4,
2026-09-14T22:07:54.495+00:00,257,OK,11.9,
2026-09-14T22:07:55.001+00:00,258,OK,5.8,
2026-09-14T22:07:55.515+00:00,259,OK,13.3,
2026-09-14T22:07:56.022+00:00,260,OK,6.7,
2026-09-14T22:07:56.534+00:00,261,OK,11.5,
2026-09-14T22:07:57.042+00:00,262,OK,8.4,
2026-09-14T22:07:57.547+00:00,263,OK,4.0,
2026-09-14T22:07:58.050+00:00,264,OK,3.1,
2026-09-14T22:07:58.557+00:00,265,OK,6.7,
2026-09-14T22:07:59.068+00:00,266,OK,10.3,
2026-09-14T22:07:59.579+00:00,267,OK,11.3,
2026-09-14T22:08:00.086+00:00,268,OK,6.0,
2026-09-14T22:08:00.598+00:00,269,OK,11.5,
2026-09-14T22:08:01.107+00:00,270,OK,8.2,
2026-09-14T22:08:01.616+00:00,271,OK,9.4,
2026-09-14T22:08:02.121+00:00,272,OK,4.5,
2026-09-14T22:08:02.630+00:00,273,OK,8.1,
2026-09-14T22:08:03.137+00:00,274,OK,7.6,
2026-09-14T22:08:03.644+00:00,275,OK,6.0,
2026-09-14T22:08:04.149+00:00,276,OK,4.5,
2026-09-14T22:08:04.652+00:00,277,OK,3.0,
2026-09-14T22:08:05.164+00:00,278,OK,12.2,
2026-09-14T22:08:05.673+00:00,279,OK,8.9,
2026-09-14T22:08:06.178+00:00,280,OK,4.5,
2026-09-14T22:08:06.686+00:00,281,OK,7.8,
2026-09-14T22:08:07.189+00:00,282,OK,2.8,
2026-09-14T22:08:07.695+00:00,283,OK,5.3,
2026-09-14T22:08:08.204+00:00,284,OK,9.1,
2026-09-14T22:08:08.717+00:00,285,OK,12.2,
2026-09-14T22:08:09.222+00:00,286,OK,4.9,
2026-09-14T22:08:09.731+00:00,287,OK,9.0,
2026-09-14T22:08:10.241+00:00,288,OK,8.8,
2026-09-14T22:08:10.757+00:00,289,OK,16.1,
2026-09-14T22:08:11.267+00:00,290,OK,9.2,
2026-09-14T22:08:11.779+00:00,291,OK,11.9,
2026-09-14T22:08:12.290+00:00,292,OK,10.8,
2026-09-14T22:08:12.799+00:00,293,OK,10.7,
2026-09-14T22:08:13.312+00:00,294,OK,12.4,
2026-09-14T22:08:13.816+00:00,295,OK,4.4,
2026-09-14T22:08:14.325+00:00,296,OK,8.6,
2026-09-14T22:08:14.835+00:00,297,OK,9.6,
2026-09-14T22:08:15.348+00:00,298,OK,12.2,
2026-09-14T22:08:15.865+00:00,299,OK,17.0,
2026-09-14T22:08:16.373+00:00,300,OK,7.4,
2026-09-14T22:08:16.883+00:00,301,OK,9.1,
2026-09-14T22:08:17.387+00:00,302,OK,4.6,
2026-09-14T22:08:17.892+00:00,303,OK,4.9,
2026-09-14T22:08:18.395+00:00,304,OK,2.8,
2026-09-14T22:08:18.904+00:00,305,OK,8.0,
2026-09-14T22:08:19.410+00:00,306,OK,5.6,
2026-09-14T22:08:19.914+00:00,307,OK,3.9,
2026-09-14T22:08:20.425+00:00,308,OK,11.1,
2026-09-14T22:08:20.935+00:00,309,OK,9.6,
2026-09-14T22:08:21.443+00:00,310,OK,7.3,
2026-09-14T22:08:21.946+00:00,311,OK,2.7,
2026-09-14T22:08:22.454+00:00,312,OK,7.8,
2026-09-14T22:08:22.958+00:00,313,OK,4.0,
2026-09-14T22:08:23.463+00:00,314,OK,4.3,
2026-09-14T22:08:23.966+00:00,315,OK,3.0,
2026-09-14T22:08:24.479+00:00,316,OK,12.7,
2026-09-14T22:08:24.985+00:00,317,OK,5.5,
2026-09-14T22:08:25.495+00:00,318,OK,9.3,
2026-09-14T22:08:26.000+00:00,319,OK,5.2,
2026-09-14T22:08:26.510+00:00,320,OK,9.0,
2026-09-14T22:08:27.016+00:00,321,OK,5.7,
2026-09-14T22:08:27.537+00:00,322,OK,21.2,
2026-09-14T22:08:28.042+00:00,323,OK,4.6,
2026-09-14T22:08:28.550+00:00,324,OK,7.6,
2026-09-14T22:08:29.059+00:00,325,OK,8.3,
2026-09-14T22:08:29.568+00:00,326,OK,8.8,
2026-09-14T22:08:30.073+00:00,327,OK,4.5,
2026-09-14T22:08:30.578+00:00,328,OK,5.4,
2026-09-14T22:08:31.090+00:00,329,OK,11.5,
2026-09-14T22:08:31.595+00:00,330,OK,4.5,
2026-09-14T22:08:32.102+00:00,331,OK,6.5,
2026-09-14T22:08:32.613+00:00,332,OK,10.8,
2026-09-14T22:08:33.121+00:00,333,OK,7.8,
2026-09-14T22:08:33.635+00:00,334,OK,13.2,
2026-09-14T22:08:34.141+00:00,335,OK,6.1,
2026-09-14T22:08:34.649+00:00,336,OK,8.0,
2026-09-14T22:08:35.159+00:00,337,OK,9.5,
2026-09-14T22:08:35.670+00:00,338,OK,10.9,
2026-09-14T22:08:36.177+00:00,339,OK,6.5,
2026-09-14T22:08:36.694+00:00,340,OK,16.9,
2026-09-14T22:08:37.204+00:00,341,OK,8.8,
2026-09-14T22:08:37.714+00:00,342,OK,9.8,
2026-09-14T22:08:38.221+00:00,343,OK,6.4,
2026-09-14T22:08:38.731+00:00,344,OK,10.2,
2026-09-14T22:08:39.236+00:00,345,OK,4.9,
2026-09-14T22:08:39.746+00:00,346,OK,9.2,
2026-09-14T22:08:40.258+00:00,347,OK,11.4,
2026-09-14T22:08:40.769+00:00,348,OK,10.5,
2026-09-14T22:08:41.278+00:00,349,OK,9.0,
2026-09-14T22:08:41.792+00:00,350,OK,13.7,
2026-09-14T22:08:42.298+00:00,351,OK,5.6,
2026-09-14T22:08:42.815+00:00,352,OK,18.3,
2026-09-14T22:08:43.332+00:00,353,OK,17.2,
2026-09-14T22:08:43.840+00:00,354,OK,7.2,
2026-09-14T22:08:44.347+00:00,355,OK,7.2,
2026-09-14T22:08:44.853+00:00,356,OK,5.3,
2026-09-14T22:08:45.359+00:00,357,OK,5.7,
2026-09-14T22:08:45.873+00:00,358,OK,13.9,
2026-09-14T22:08:46.380+00:00,359,OK,6.7,
2026-09-14T22:08:46.890+00:00,360,OK,9.6,
2026-09-14T22:08:47.394+00:00,361,OK,3.5,
2026-09-14T22:08:47.904+00:00,362,OK,10.2,
2026-09-14T22:08:48.411+00:00,363,OK,5.0,
2026-09-14T22:08:48.919+00:00,364,OK,6.9,
2026-09-14T22:08:49.428+00:00,365,OK,9.2,
2026-09-14T22:08:49.935+00:00,366,OK,7.0,
2026-09-14T22:08:50.444+00:00,367,OK,8.7,
2026-09-14T22:08:50.957+00:00,368,OK,12.3,
2026-09-14T22:08:51.468+00:00,369,OK,10.4,
2026-09-14T22:08:51.972+00:00,370,OK,4.0,
2026-09-14T22:08:52.477+00:00,371,OK,5.2,
2026-09-14T22:08:52.985+00:00,372,OK,7.3,
2026-09-14T22:08:53.496+00:00,373,OK,10.5,
2026-09-14T22:08:54.001+00:00,374,OK,4.5,
2026-09-14T22:08:54.519+00:00,375,OK,17.9,
2026-09-14T22:08:55.029+00:00,376,OK,9.6,
2026-09-14T22:08:55.546+00:00,377,OK,16.4,
2026-09-14T22:08:56.054+00:00,378,OK,7.8,
2026-09-14T22:08:56.571+00:00,379,OK,16.7,
2026-09-14T22:08:57.090+00:00,380,OK,18.3,
2026-09-14T22:08:57.607+00:00,381,OK,16.5,
2026-09-14T22:08:58.112+00:00,382,OK,4.5,
2026-09-14T22:08:58.621+00:00,383,OK,8.5,
2026-09-14T22:08:59.137+00:00,384,OK,15.7,
2026-09-14T22:08:59.646+00:00,385,OK,8.5,
2026-09-14T22:09:00.164+00:00,386,OK,17.9,
2026-09-14T22:09:00.681+00:00,387,OK,16.2,
2026-09-14T22:09:01.186+00:00,388,OK,4.6,
2026-09-14T22:09:01.693+00:00,389,OK,6.2,
2026-09-14T22:09:02.207+00:00,390,OK,14.5,
2026-09-14T22:09:02.713+00:00,391,OK,5.2,
2026-09-14T22:09:03.227+00:00,392,OK,13.8,
2026-09-14T22:09:03.737+00:00,393,OK,10.0,
2026-09-14T22:09:04.245+00:00,394,OK,7.0,
2026-09-14T22:09:04.754+00:00,395,OK,8.6,
2026-09-14T22:09:05.268+00:00,396,OK,14.0,
2026-09-14T22:09:05.783+00:00,397,OK,14.8,
2026-09-14T22:09:06.290+00:00,398,OK,6.8,
2026-09-14T22:09:06.806+00:00,399,OK,15.8,
2026-09-14T22:09:07.317+00:00,400,OK,10.1,
2026-09-14T22:09:07.826+00:00,401,OK,8.8,
2026-09-14T22:09:08.332+00:00,402,OK,6.5,
2026-09-14T22:09:08.847+00:00,403,OK,14.7,
2026-09-14T22:09:09.354+00:00,404,OK,6.3,
2026-09-14T22:09:09.873+00:00,405,OK,18.7,
2026-09-14T22:09:10.377+00:00,406,OK,3.8,
2026-09-14T22:09:10.883+00:00,407,OK,6.1,
2026-09-14T22:09:11.389+00:00,408,OK,5.9,
2026-09-14T22:09:11.895+00:00,409,OK,5.5,
2026-09-14T22:09:12.401+00:00,410,OK,5.2,
2026-09-14T22:09:12.908+00:00,411,OK,9.1,
2026-09-14T22:09:13.418+00:00,412,OK,9.5,
2026-09-14T22:09:13.923+00:00,413,OK,5.5,
2026-09-14T22:09:14.441+00:00,414,OK,17.6,
2026-09-14T22:09:14.947+00:00,415,OK,5.7,
2026-09-14T22:09:15.452+00:00,416,OK,4.4,
2026-09-14T22:09:15.957+00:00,417,OK,4.0,
2026-09-14T22:09:16.465+00:00,418,OK,7.7,
2026-09-14T22:09:16.970+00:00,419,OK,5.4,
2026-09-14T22:09:17.481+00:00,420,OK,10.7,
2026-09-14T22:09:17.995+00:00,421,OK,13.3,
2026-09-14T22:09:18.505+00:00,422,OK,9.5,
2026-09-14T22:09:19.015+00:00,423,OK,9.4,
2026-09-14T22:09:19.522+00:00,424,OK,7.3,
2026-09-14T22:09:20.029+00:00,425,OK,6.8,
2026-09-14T22:09:20.545+00:00,426,OK,14.8,
2026-09-14T22:09:21.055+00:00,427,OK,10.5,
2026-09-14T22:09:21.566+00:00,428,OK,10.6,
2026-09-14T22:09:22.077+00:00,429,OK,9.9,
